,Elevacion
1340,1435
1341,1361
1342,1327
1343,1586
1344,1536
1345,1258
1346,1495
1347,1807
1348,1776
1349,1713
1350,1365
1351,1160
1352,946
1353,861
1354,994
1355,1061
1356,626
1357,470
1358,545
1359,662
1360,829
1361,761
1362,617
1363,432
1364,402
1365,381
1366,337
1367,410
1368,503
1369,705
1370,709
1371,496
1372,359
1373,272
1374,277
1375,285
1376,272
1377,269
1378,262
1379,258
1380,256
1381,249
1382,246
1383,251
1384,243
1385,238
1386,234
1387,232
1388,231
1389,226
1390,223
1391,224
1392,218
1393,222
1394,222
1395,214
1396,210
1397,210
1398,209
1399,204
1400,1259
1401,1229
1402,1140
1403,1165
1404,1021
1405,967
1406,940
1407,676
1408,438
1409,491
1410,548
1411,562
1412,572
1413,687
1414,633
1415,560
1416,468
1417,345
1418,346
1419,273
1420,233
1421,224
1422,221
1423,248
1424,224
1425,223
1426,234
1427,209
1428,229
1429,198
1430,194
1431,194
1432,190
1433,192
1434,189
1435,198
1436,187
1437,183
1438,181
1439,184
1440,183
1441,184
1442,190
1443,188
1444,190
1445,200
1446,199
1447,196
1448,239
1449,281
1450,431
1451,617
1452,377
1453,298
1454,340
1455,550
1456,509
1457,509
1458,501
1459,652
1460,948
1461,758
1462,1003
1463,1226
1464,848
1465,617
1466,701
1467,915
1468,1101
1469,1080
1470,1392
1471,1408
1472,1086
1473,1015
1474,913
1475,845
1476,953
1477,833
1478,737
1479,962
1480,940
1481,934
1482,1244
1483,1089
1484,1154
1485,1137
1486,1277
1487,1502
1488,1674
1489,1383
1490,1330
1491,1270
1492,1340
1493,1444
1494,1366
1495,1426
1496,1338
1497,1287
1498,937
1499,691
1500,646
1501,749
1502,573
1503,636
1504,826
1505,967
1506,1109
1507,883
1508,666
1509,621
1510,662
1511,880
1512,1097
1513,1343
1514,1580
1515,1489
1516,1603
1517,1799
1518,2037
1519,2177
1520,2092
1521,2225
1522,2267
1523,2323
1524,2499
1525,2538
1526,2665
1527,2891
1528,2831
1529,2857
1530,2804
1531,2858
1532,2964
1533,2991
1534,2785
1535,2675
1536,2634
1537,2560
1538,2564
1539,2562
1540,2560
1541,2560
1542,2562
1543,2563
1544,2559
1545,2562
1546,2564
1547,2640
1548,2719
1549,2750
1550,2637
1551,2506
1552,2527
1553,2586
1554,2505
1555,2548
1556,2507
1557,2362
1558,2270
1559,2180
1560,2291
1561,2292
1562,2180
1563,2331
1564,2462
1565,2560
1566,2610
1567,2706
1568,2677
1569,2793
1570,2701
1571,2620
1572,2680
1573,2695
1574,2649
1575,2607
1576,2610
1577,2645
1578,2786
1579,2781
1580,2784
1581,2768
1582,3057
1583,3157
1584,3190
1585,3084
1586,2982
1587,2953
1588,2966
1589,2977
1590,2816
1591,2750
1592,2735
1593,2727
1594,2853
1595,2894
1596,2912
1597,2877
1598,2976
1599,3112
1600,3056
1601,3101
1602,3025
1603,2930
1604,2873
1605,2742
1606,2860
1607,2870
1608,2897
1609,2870
1610,2943
1611,3047
1612,3107
1613,3138
1614,3225
1615,3263
1616,3410
1617,3461
1618,3591
1619,3760
1620,3642
1621,3445
1622,3241
1623,3104
1624,2863
1625,2705
1626,2789
1627,2892
1628,3096
1629,2969
1630,2861
1631,2934
1632,3002
1633,3039
1634,3126
1635,3102
1636,3147
1637,3140
1638,3153
1639,3033
1640,3033
1641,3033
1642,3032
1643,3032
1644,3032
1645,3037
1646,3035
1647,3045
1648,3119
1649,3354
1650,3590
1651,3544
1652,3505
1653,3345
1654,3068
1655,2976
1656,2957
1657,2957
1658,3042
1659,3137
1660,3317
1661,3415
1662,3485
1663,3318
1664,3221
1665,3295
1666,2955
1667,2849
1668,2829
1669,2828
1670,2988
1671,3108
1672,2886
1673,2720
1674,2557
1675,2382
1676,2072
1677,1839
1678,1658
1679,1322
1680,1195
1681,1215
1682,1367
1683,1584
1684,1125
1685,885
1686,963
1687,1060
1688,1020
1689,1042
1690,1390
1691,1462
1692,1403
1693,1440
1694,1593
1695,1683
1696,1523
1697,1533
1698,1514
1699,1606
1700,1419
1701,1249
1702,1045
1703,821
1704,644
1705,820
1706,512
1707,624
1708,616
1709,742
1710,885
1711,730
1712,599
1713,544
1714,435
1715,386
1716,365
1717,325
1718,368
1719,614
1720,541
1721,461
1722,307
1723,279
1724,337
1725,368
1726,289
1727,274
1728,272
1729,262
1730,259
1731,256
1732,244
1733,252
1734,244
1735,241
1736,236
1737,239
1738,229
1739,228
1740,227
1741,227
1742,230
1743,220
1744,219
1745,215
1746,212
1747,214
1748,208
1749,204
1750,1110
1751,1083
1752,1062
1753,887
1754,962
1755,859
1756,895
1757,917
1758,765
1759,687
1760,392
1761,663
1762,452
1763,684
1764,644
1765,506
1766,490
1767,400
1768,351
1769,284
1770,253
1771,254
1772,220
1773,258
1774,219
1775,256
1776,264
1777,223
1778,226
1779,203
1780,252
1781,199
1782,204
1783,229
1784,207
1785,203
1786,190
1787,183
1788,187
1789,186
1790,186
1791,181
1792,176
1793,186
1794,192
1795,189
1796,200
1797,208
1798,237
1799,269
1800,383
1801,616
1802,449
1803,276
1804,366
1805,376
1806,331
1807,353
1808,510
1809,715
1810,897
1811,860
1812,580
1813,960
1814,775
1815,707
1816,913
1817,1014
1818,1075
1819,1178
1820,1223
1821,1218
1822,1494
1823,1299
1824,978
1825,760
1826,980
1827,754
1828,923
1829,1009
1830,944
1831,1097
1832,1215
1833,1406
1834,1500
1835,1314
1836,1279
1837,1410
1838,1630
1839,1506
1840,1648
1841,1696
1842,1585
1843,1427
1844,1322
1845,1170
1846,979
1847,889
1848,938
1849,659
1850,971
1851,820
1852,578
1853,883
1854,865
1855,1025
1856,890
1857,762
1858,658
