,Elevacion
1087,2858
1088,2723
1089,2716
1090,2717
1091,2662
1092,2603
1093,2706
1094,2701
1095,2838
1096,2766
1097,2777
1098,2737
1099,2695
1100,2582
1101,2558
1102,2481
1103,2406
1104,2276
1105,2166
1106,2095
1107,2105
1108,2112
1109,2144
1110,2049
1111,2125
1112,2128
1113,2021
1114,2037
1115,1912
1116,1851
1117,1970
1118,1962
1119,1889
1120,1878
1121,1820
1122,1805
1123,1678
1124,1658
1125,1785
1126,1776
1127,1704
1128,1535
1129,1496
1130,1496
1131,1612
1132,1470
1133,1501
1134,1364
1135,1404
1136,1599
1137,1885
1138,1955
1139,1841
1140,1644
1141,1278
1142,1258
1143,1462
1144,1689
1145,1986
1146,1833
1147,1586
1148,1533
1149,1539
1150,1208
1151,1102
1152,1221
1153,1167
1154,767
1155,770
1156,1048
1157,1233
1158,1219
1159,1461
1160,1486
1161,1648
1162,1482
1163,1449
1164,1415
1165,1464
1166,1522
1167,1553
1168,1485
1169,1582
1170,1525
1171,1468
1172,1555
1173,1543
1174,1602
1175,1537
1176,1705
1177,1660
1178,1671
1179,1797
1180,1581
1181,1486
1182,1487
1183,1296
1184,1164
1185,1304
1186,1101
1187,1114
1188,1279
1189,1371
1190,1189
1191,1370
1192,1259
1193,1189
1194,1117
1195,1204
1196,1244
1197,1198
1198,1131
1199,1017
1200,778
1201,690
1202,576
1203,670
1204,587
1205,644
1206,775
1207,881
1208,937
1209,940
1210,918
1211,876
1212,874
1213,877
1214,865
1215,979
1216,876
1217,880
1218,840
1219,822
1220,848
1221,834
1222,808
1223,801
1224,856
1225,708
1226,708
1227,670
1228,653
1229,666
1230,603
1231,623
1232,595
1233,571
1234,577
1235,658
1236,599
1237,592
1238,630
1239,608
1240,581
1241,558
1242,548
1243,568
1244,550
1245,581
1246,537
1247,581
1248,577
1249,588
1250,675
1251,590
1252,583
1253,557
1254,477
1255,476
1256,490
1257,478
1258,519
1259,496
1260,477
1261,454
1262,315
1263,384
1264,437
1265,386
1266,379
1267,327
1268,290
1269,326
1270,285
1271,303
1272,267
1273,230
1274,262
1275,250
1276,236
1277,237
1278,206
1279,171
1280,168
1281,149
1282,117
1283,126
1284,128
1285,114
1286,99
1287,104
1288,112
1289,123
1290,146
1291,142
1292,134
1293,139
1294,113
1295,120
1296,103
1297,99
1298,103
1299,105
1300,114
1301,97
1302,104
1303,98
1304,101
1305,100
1306,124
1307,121
1308,122
1309,116
1310,123
1311,96
1312,105
1313,91
1314,97
1315,105
1316,116
1317,139
1318,127
1319,95
1320,88
1321,95
1322,95
1323,92
1324,90
1325,135
1326,117
1327,112
1328,102
1329,119
1330,94
1331,84
1332,83
1333,80
1334,84
1335,85
1336,85
1337,81
1338,80
1339,80
1340,83
1341,79
1342,84
1343,84
1344,86
1345,83
1346,81
1347,82
1348,82
1349,82
1350,79
1351,82
1352,76
1353,76
1354,83
1355,83
1356,80
1357,78
1358,77
1359,80
1360,82
1361,118
1362,118
1363,122
1364,98
1365,124
1366,128
1367,122
1368,113
1369,108
1370,107
1371,120
1372,115
1373,121
1374,117
1375,100
1376,106
1377,105
1378,111
1379,123
1380,118
1381,125
1382,113
1383,100
1384,116
1385,115
1386,102
1387,104
1388,105
1389,109
1390,101
1391,120
1392,108
1393,114
1394,150
1395,158
1396,135
1397,118
1398,111
1399,128
1400,906
1401,1245
1402,1318
1403,1733
1404,2046
1405,2405
1406,2134
1407,1758
1408,1892
1409,1495
1410,1160
1411,1483
1412,1496
1413,1809
1414,2209
1415,2348
1416,2401
1417,2144
1418,1715
1419,1445
1420,1203
1421,1246
1422,1483
1423,1712
1424,1734
1425,1985
1426,2107
1427,2229
1428,2614
1429,2686
1430,2743
1431,2614
1432,2582
1433,2853
1434,2881
1435,2907
1436,2852
1437,2898
1438,2898
1439,2904
1440,2716
1441,2696
1442,2599
1443,2596
1444,2643
1445,2745
1446,2721
1447,2713
1448,2675
1449,2543
1450,2565
1451,2466
1452,2337
1453,2311
1454,2357
1455,2375
1456,2260
1457,2096
1458,2054
1459,2103
1460,2031
1461,2034
1462,2061
1463,1948
1464,2044
1465,1867
1466,1839
1467,1826
1468,1738
1469,1733
1470,1646
1471,1589
1472,1557
1473,1555
1474,1527
1475,1542
1476,1648
1477,1660
1478,1545
1479,1444
1480,1530
1481,1688
1482,1540
1483,1438
1484,1378
1485,1470
1486,1728
1487,1886
1488,1975
1489,1752
1490,1522
1491,1225
1492,1200
1493,1378
1494,1659
1495,1905
1496,1736
1497,1808
1498,1861
1499,1875
1500,1700
1501,1600
1502,1525
1503,1297
1504,984
1505,761
1506,618
1507,639
1508,828
1509,963
1510,1048
1511,1222
1512,1480
1513,1391
1514,1329
1515,1490
1516,1538
1517,1633
1518,1649
1519,1441
1520,1486
1521,1515
1522,1504
1523,1496
1524,1514
1525,1491
1526,1612
