CODIGO,CATEGORIA,NOMBRE,MUNICIPIO,DEPARTAMENTO,AO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
21160170,PM,El Fique ,Prado,Tolima,10,1040,-74.79,3.71,164.3,190.5,255.5,250.4,203.2,98,57.2,54.5,108.2,314.5,331,240.2,2267.4
21160050,PM,Hacienda Pinalito ,Prado,Tolima,10,827,-74.84,3.67,146.7,176,259,256.3,235.3,102.7,61.8,57.2,116.9,306.1,326.3,251.5,2295.8
21165030,PM,Lozanía,Purificación,Tolima,10,394,-74.77,3.9,118.6,145.4,208.8,236,191,85.9,60.1,54,134,290.2,285.1,182.4,1991.5
22010010,PM,Herrera,Rioblanco,Tolima,10,1620,-75.82,3.29,85.1,107,138.9,173.7,205.3,153.3,138.1,103.2,124,156,143.1,97.9,1625.7
22070010,PM,Roncesvalles,Roncesvalles,Tolima,10,2581,-75.61,4.01,59.3,78.6,117.5,169.3,175.1,128.6,103.4,94.1,122.8,132.1,120.6,82.6,1384
22070030,PM,Santa Helena,Roncesvalles,Tolima,10,2606,-75.5,4.12,83.4,79.5,115.7,182.6,189.9,142.4,162.4,141.9,127.4,180.4,188.8,121.6,1716.1
22075030,CO,Riomanso,Rovira,Tolima,10,2032,-75.42,4.21,98.3,124.9,157.6,213.8,211.3,154.3,118.3,107.5,156.3,186.6,182.7,137,1848.5
21180040,PM,Rovira 2,Rovira,Tolima,10,848,-75.24,4.24,106.9,119.6,162.6,226.2,234.7,122.3,72.1,90.3,168.1,208.7,219.9,131.4,1862.9
22050090,PM,Molino Murra,Saldaña,Tolima,10,324,-75.02,3.92,98.7,112.2,141.2,222.3,191.3,73.5,67.2,46,125.6,186.1,195.4,126.3,1585.9
21180120,PM,Hacienda La Lorena ,San Luis,Tolima,10,450,-75.11,4.03,80.3,89.3,132.4,232.3,192.1,74.9,47.6,58.4,116.1,201.8,197.7,125,1548
21245140,ME,Santa Isabel,Santa Isabel,Tolima,10,2288,-75.09,4.71,121.4,130.8,171,222.7,214.6,109.4,95.2,87,176.6,204.4,211.6,135.4,1880.1
21255110,CO,Santa Isabel,Santa Isabel,Tolima,10,2817,-75.13,4.7,68.5,96.7,143.8,218.1,197.2,113.2,85.7,93.8,160.3,186.5,163.7,97.2,1624.7
21170040,PM,Las Mesas,Suárez,Tolima,10,849,-74.82,3.91,139,161.5,217,287,221.8,94.1,61.4,64.8,120.5,294.1,283,207.2,2151.5
21180210,PM,Valle de San Juan,Valle de San Juan,Tolima,10,582,-75.11,4.19,71.8,97.9,117.8,235.4,221.4,89.4,59.1,58,138.1,217.1,179.5,118.2,1603.7
21250460,PM,Venadillo,Venadillo,Tolima,10,430,-74.92,4.66,80,87.1,105.9,206,220,120.6,80.8,95,161.2,175.9,121.7,76.5,1530.7
21160070,PM,Villarrica,Villarrica,Tolima,10,975,-74.61,3.93,108.6,134.5,178.4,190.4,176.4,77.5,58.6,66.7,111.2,208.9,227.7,136.8,1675.7
26120150,PM,Alcalá,Alcalá,Valle del Cauca,9,1261,-75.79,4.68,109.5,107.8,184.2,231.4,225.7,161.1,110.2,107.3,165.7,213.6,228,142.9,1987.4
26100700,PM,Pardo,Andalucía,Valle del Cauca,9,1314,-76.1,4.09,98.9,109.5,181.8,219.2,179.9,108.2,75.2,83.2,144.3,221.9,202.5,117.6,1742.2
26110150,PM,La Inmaculada ,Ansermanuevo,Valle del Cauca,9,960,-75.99,4.79,75.2,91.8,154.9,177.1,192.4,106.2,88.4,92.8,141.8,172.3,157.1,96,1546
54030090,PM,Betania,Bolívar,Valle del Cauca,9,1750,-76.32,4.35,78.3,78.3,101.5,172.2,174.5,128.4,97.8,78.8,128.3,190.6,167.7,102.9,1499.3
26110040,PM,Bolívar,Bolívar,Valle del Cauca,9,972,-76.19,4.34,48,58.8,87.8,146.5,136.1,76.2,63.3,54.5,96.6,126.9,124,87.5,1106.2
26110170,PM,El Retiro,Bolívar,Valle del Cauca,9,1640,-76.27,4.42,96,92.7,121.3,212.9,158.8,100.5,69.9,81.5,123.4,200.3,196.7,151.2,1605.2
